breakdown,group,A-Full (Qwen2.5-7B-Instruct)_brier,A-Full (Qwen2.5-7B-Instruct)_accuracy,A-Full (Qwen2.5-7B-Instruct)_skill,B-NoMeta_brier,B-NoMeta_accuracy,B-NoMeta_skill,C-Shuffled_brier,C-Shuffled_accuracy,C-Shuffled_skill,n
overall,all,0.9578586204690007,0.2016925246826516,-0.1894475990366986,1.039036177250889,0.15796897038081806,-0.29025208933047986,0.9597322218205081,0.2016925246826516,-0.19177419565699227,709
frame_type,book_context,0.8769168017019147,0.21800947867298578,-0.12294617315218281,0.968756815439739,0.13744075829383887,-0.24055298803927005,0.8847624632439076,0.1990521327014218,-0.13299302775381583,211
frame_type,passage_context,1.053683047050116,0.1056338028169014,-0.29759045470361434,1.1406655105668722,0.08450704225352113,-0.404707689532372,1.0629328914759377,0.1267605633802817,-0.3089814606309109,284
frame_type,world_context,0.9104968756597484,0.3130841121495327,-0.10980865701901443,0.9734577411780542,0.2757009345794392,-0.18655193365573486,0.8966931044257447,0.3037383177570093,-0.0929831793874667,214
reasoning_type,abstention,1.2846858346875114,0.10909090909090909,-0.5675589774334586,1.2964493455423562,0.10909090909090909,-0.5819126789756985,1.1925333676356957,0.09090909090909091,-0.45511559001582436,55
reasoning_type,character_modeling,0.9251463931620347,0.18681318681318682,-0.2335285242160463,1.023381550675072,0.12087912087912088,-0.36450873423342944,0.9088815673759101,0.18681318681318682,-0.21184208983454678,91
reasoning_type,constrained_generation,0.8370842358034774,0.22105263157894736,-0.0454382436634142,0.9360250398842025,0.14736842105263157,-0.1690058561218135,0.8688815498865444,0.18947368421052632,-0.0851500513482264,95
reasoning_type,inference,0.7660422308030211,0.4189189189189189,0.06616124738745377,0.8171637656946107,0.36486486486486486,0.0038418758760986327,0.768234457129528,0.40540540540540543,0.06348882827546376,74
reasoning_type,knowledge,0.7941351223994039,0.35294117647058826,0.03277989080517152,0.9005308699514456,0.3058823529411765,-0.09680524359138332,0.8171016388183647,0.35294117647058826,0.004807728521937338,85
reasoning_type,phrase_cloze,1.0631557253875283,0.12195121951219512,-0.31243913408773016,1.1529168844209532,0.09146341463414634,-0.42324703835180033,1.0754807720696662,0.13414634146341464,-0.3276540957427594,164
reasoning_type,sentence_cloze,1.0407370533223195,0.08333333333333333,-0.2774133624140318,1.1239219662996294,0.075,-0.3795155399518142,1.0457841213311745,0.11666666666666667,-0.28360819529227177,120
reasoning_type,topic_sentence,0.8527248392011343,0.32,-0.04220821925409246,0.8943035262941676,0.16,-0.09302607683491537,0.8573163949613967,0.28,-0.04782006135428518,25
