breakdown,group,A-Full (Mistral-7B-Instruct-v0.3)_brier,A-Full (Mistral-7B-Instruct-v0.3)_accuracy,A-Full (Mistral-7B-Instruct-v0.3)_skill,B-NoMeta_brier,B-NoMeta_accuracy,B-NoMeta_skill,C-Shuffled_brier,C-Shuffled_accuracy,C-Shuffled_skill,n
overall,all,0.9614833666709509,0.1622002820874471,-0.19394872850914213,0.9856092748265973,0.14527503526093088,-0.22390774638201227,0.966022240010498,0.15655853314527504,-0.19958500079472485,709
frame_type,book_context,0.9160216683499155,0.13744075829383887,-0.17302237224971795,0.9509749103615697,0.11848341232227488,-0.21778215935845147,0.9258238299115966,0.12796208530805686,-0.18557464607198515,211
frame_type,passage_context,1.0270314914801841,0.07746478873239436,-0.2647695754009016,1.0806229311132154,0.06338028169014084,-0.33076640501330656,1.041490560326666,0.07042253521126761,-0.2825756412492826,284
frame_type,world_context,0.919318651249998,0.29906542056074764,-0.1205615581898658,0.8936652211664179,0.2803738317757009,-0.08929247912975424,0.9055029015108551,0.29906542056074764,-0.10372147990557856,214
reasoning_type,abstention,1.2331566754489665,0.05454545454545454,-0.5046836860719506,1.0136006436443346,0.18181818181818182,-0.23678392457988706,1.1867022451670612,0.09090909090909091,-0.44800052100251553,55
reasoning_type,character_modeling,0.9685545817026772,0.10989010989010989,-0.2914061089369029,0.9830619857665228,0.07692307692307693,-0.3107493143553637,0.9549252652284402,0.10989010989010989,-0.2732336869712537,91
reasoning_type,constrained_generation,0.8529440750093599,0.17894736842105263,-0.06524566773736917,0.9123207927543217,0.15789473684210525,-0.1394015159289297,0.8876082852528958,0.15789473684210525,-0.10853795485133833,95
reasoning_type,inference,0.7909046108750669,0.36486486486486486,0.035852926175031885,0.8231204678767499,0.2972972972972973,-0.0034196028149939828,0.7749581438102008,0.35135135135135137,0.05529236216646716,74
reasoning_type,knowledge,0.8280427413300168,0.4,-0.008518031877700949,0.8774753800740657,0.32941176470588235,-0.06872471572181471,0.8372011152609394,0.38823529411764707,-0.019672510736097326,85
reasoning_type,phrase_cloze,1.0235010550733883,0.08536585365853659,-0.2634864360710274,1.0817823021421449,0.06707317073170732,-0.3354331769011072,1.0365186141626432,0.07317073170731707,-0.27955628696028456,164
reasoning_type,sentence_cloze,1.0318564212361392,0.06666666666666667,-0.2665131661950584,1.0790384573736789,0.058333333333333334,-0.3244249732510225,1.048285553417496,0.06666666666666667,-0.28667848356733394,120
reasoning_type,topic_sentence,0.9644967184399745,0.08,-0.17881684828538358,0.9810636027950879,0.12,-0.19906504823052273,0.9651136750613479,0.08,-0.17957089839880713,25
